date,product,firmware,crash_flag,session_s,air_s,distance_velocity_m,max_radius_m,max_speed_kmh,mean_air_speed_mps,max_alt_m,min_alt_m,battery_start_pct,battery_end_pct,battery_min_pct,battery_used_pct,wifi_weakest_dbm,wifi_median_dbm,sat_min,sat_median,sat_max,alert_names,alert_episode_count,emergency_state_episodes,cutout_episodes,critical_batt_episodes,low_batt_episodes,angle_episodes,magneto_episodes
2023-04-18T14:27:14+02:00,Anafi,1.8.2,0,1.064,0.0,0.0,0.0,0.0,,0.0,0.0,95.0,95.0,95.0,0.0,-19.0,-15.0,0.0,0.0,0.0,,0,0,0,0,0,0,0
2023-04-18T14:27:19+02:00,Anafi,1.8.2,0,157.437,0.0,0.0,0.0,0.0,,0.0,0.0,95.0,94.0,94.0,1.0,-60.0,-32.0,0.0,0.0,5.0,,0,0,0,0,0,0,0
2023-04-18T14:29:57+02:00,Anafi,1.8.2,0,3.929,0.0,0.0,0.0,0.0,,0.0,0.0,93.0,93.0,93.0,0.0,-28.0,-27.0,4.0,5.0,5.0,,0,0,0,0,0,0,0
2023-04-18T14:30:02+02:00,Anafi,1.8.2,0,1.921,0.0,0.0,0.0,0.0,,0.0,0.0,93.0,93.0,93.0,0.0,-39.0,-29.0,4.0,4.0,4.0,,0,0,0,0,0,0,0
2023-04-18T14:35:26+02:00,Anafi,1.8.2,0,1.313,0.0,0.0,0.0,0.0,,0.0,0.0,91.0,91.0,91.0,0.0,-29.0,-23.0,4.0,4.0,4.0,,0,1,0,0,0,0,0
2023-04-18T14:36:07+02:00,Anafi,1.8.2,0,20.111,18.010999999999974,5.62232570346161,0.0,4.770496354562737,0.2987335811823027,0.882705569267273,0.0,91.0,90.0,90.0,1.0,-29.0,-22.0,0.0,0.0,0.0,,0,0,0,0,0,0,0
2023-04-18T14:43:53+02:00,Anafi,1.8.2,0,17.268,0.0,0.0,0.0,0.0,,0.0,0.0,88.0,88.0,88.0,0.0,-41.0,-31.0,0.0,0.0,0.0,,0,0,0,0,0,0,0
2023-04-18T14:44:22+02:00,Anafi,1.8.2,0,337.874,335.3559999999933,499.7423814428906,100.01911034532304,21.50627478901644,1.4917780497905218,30.025131225585938,0.0,88.0,63.0,63.0,25.0,-74.0,-62.0,0.0,20.0,23.0,Perturbation magnétique,3,0,0,0,0,0,3
2023-04-18T14:52:47+02:00,Anafi,1.8.2,0,85.715,83.4410000000003,29.84489650721177,0.0,8.053153995151288,0.3464486542853099,1.5900365114212036,0.0,62.0,56.0,56.0,6.0,-41.0,-24.0,0.0,0.0,0.0,,0,0,0,0,0,0,0
2023-04-18T15:00:09+02:00,Anafi,1.8.2,0,261.152,258.396999999997,345.9718156015784,51.8333722630531,17.943327908307257,1.22643690731667,29.30169486999512,-1.754486322402954,54.0,34.0,34.0,20.0,-84.0,-53.0,7.0,20.0,23.0,,0,0,0,0,0,0,0
2023-04-18T15:05:08+02:00,Anafi,1.8.2,0,27.824,25.25699999999996,13.19094286376809,6.747569525777129,5.438901158385257,0.5207453136901359,1.574784755706787,-2.522587537765503,33.0,31.0,31.0,2.0,-54.0,-34.0,4.0,12.0,22.0,Perturbation magnétique,1,0,0,0,0,0,1
2023-04-18T15:07:21+02:00,Anafi,1.8.2,0,93.893,91.9960000000002,9.59385342697423,0.0,4.679284336745048,0.1179935038150389,0.9610317945480348,-0.0719138011336326,31.0,24.0,24.0,7.0,-45.0,-29.0,0.0,0.0,5.0,Perturbation magnétique,1,0,0,0,0,0,1
2023-04-18T15:09:50+02:00,Anafi,1.8.2,0,157.619,0.0,0.0,0.0,0.0,,0.0,0.0,23.0,22.0,22.0,1.0,-42.0,-26.0,0.0,0.0,18.0,Perturbation magnétique; Champ magnétique terrestre faible,3,0,0,0,0,0,3
2023-04-18T15:12:41+02:00,Anafi,1.8.2,0,233.634,231.06799999999785,107.27297145120234,16.880183718229887,7.593759981126799,0.4775748912879856,8.548918724060059,-0.5445740222930908,22.0,4.0,4.0,18.0,-63.0,-40.0,0.0,20.0,22.0,Batterie faible,1,0,0,0,1,0,0
2023-04-18T15:19:37+02:00,Anafi,1.8.2,0,66.577,64.53600000000027,16.871568576408475,0.0,6.2082154018524855,0.2615251978154225,0.8524494171142578,-0.675818920135498,96.0,92.0,92.0,4.0,-33.0,-22.0,0.0,0.0,0.0,,0,0,0,0,0,0,0
2023-04-18T15:20:46+02:00,Anafi,1.8.2,0,3.808,0.0,0.0,0.0,0.0,,0.0,0.0,92.0,92.0,92.0,0.0,-35.0,-34.0,0.0,0.0,0.0,,0,0,0,0,0,0,0
